ID,index,voices,voiceToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
0,0,4,4,0,0,125,0.8999999762
0,1,4,4,0,0,87.5,0.8999999762
0,2,4,4,0,0,93.8000030518,0.8999999762
0,3,4,4,0,0,93.8000030518,0.8999999762
0,4,4,4,0,0,100,0.8999999762
0,5,4,4,0,0,93.3000030518,0.8999999762
0,6,4,4,0,0,100,0.8999999762
0,7,4,4,0,0,93.8000030518,0.8999999762
0,8,4,4,0,0,93.8000030518,0.8999999762
0,9,4,4,0,0,93.8000030518,0.8999999762
0,10,4,4,0,0,93.8000030518,0.8999999762
0,11,4,4,0,0,93.8000030518,0.8999999762
0,12,4,4,0,0,88.1999969482,0.8999999762
0,13,4,4,0,0,100,0.8999999762
0,14,4,4,0,0,93.8000030518,0.8999999762
0,15,4,4,0,0,100,0.8999999762
0,16,4,4,0,0,93.8000030518,0.8999999762
0,17,4,4,0,0,93.3000030518,0.8999999762
0,18,4,4,0,0,93.3000030518,0.8999999762
0,19,4,4,0,0,87.5,0.8999999762
0,20,4,4,0,0,87.5,0.8999999762
0,21,4,4,0,0,93.8000030518,0.8999999762
0,22,4,4,0,0,61.9000015259,0.8999999762
0,23,4,4,0,0,73.6999969482,0.8999999762
0,24,4,4,0,0,47.0999984741,0.8999999762
0,25,4,4,0,0,43.7999992371,0.8999999762
0,26,4,4,0,0,87.5,0.8999999762
0,27,4,4,0,0,93.8000030518,0.8999999762
0,28,4,4,0,0,112.5,0.8999999762
0,29,4,4,0,0,193.8000030518,0.8999999762
0,30,4,4,0,0,93.8000030518,0.8999999762
0,31,4,4,0,0,100,0.8999999762
0,32,4,4,0,0,93.8000030518,0.8999999762
0,33,4,4,0,0,88.1999969482,0.8999999762
0,34,4,4,0,0,88.1999969482,0.8999999762
0,35,4,4,0,0,87.5,0.8999999762
0,36,4,4,0,0,143.8000030518,0.8999999762
0,37,4,4,0,0,181.1999969482,1
0,38,4,4,0,0,162.5,1
0,39,4,4,0,0,187.5,1
0,40,4,4,0,0,100,1
0,41,4,4,0,0,87.5,1
0,42,4,4,0,0,93.8000030518,1
0,43,4,4,0,0,82.4000015259,1
0,44,4,4,0,0,93.8000030518,1
0,45,4,4,0,0,87.5,1
0,46,4,4,0,0,100,1
0,47,4,4,0,0,93.8000030518,1
0,48,4,4,0,0,93.8000030518,1
