ID,index,voices,voiceToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
3,0,40,40,3,15,188.1999969482,1.1000000238
3,1,40,40,3,15,175,1.1000000238
3,2,40,40,3,15,81.1999969482,1.1000000238
3,3,40,40,3,15,87.5,1.1000000238
3,4,40,40,3,15,81.1999969482,1.1000000238
3,5,40,40,3,15,86.6999969482,1.1000000238
3,6,40,40,3,15,87.5,1.1000000238
3,7,40,40,3,15,93.8000030518,1.1000000238
3,8,40,40,3,15,81.1999969482,1.1000000238
3,9,40,40,3,15,93.3000030518,1.1000000238
3,10,40,40,3,15,87.5,1.1000000238
3,11,40,40,3,15,88.1999969482,1.1000000238
3,12,40,40,3,15,87.5,1.1000000238
3,13,40,40,3,15,93.8000030518,1.1000000238
3,14,40,40,3,15,87.5,1.1000000238
3,15,40,40,3,15,93.8000030518,1.1000000238
3,16,40,40,3,15,93.3000030518,1.1000000238
3,17,40,40,3,15,87.5,1.1000000238
3,18,40,40,3,15,93.3000030518,1.1000000238
3,19,40,40,3,15,87.5,1.1000000238
3,20,40,40,3,15,87.5,1.1000000238
3,21,40,40,3,15,87.5,1.1000000238
3,22,40,40,3,15,87.5,1.1000000238
3,23,40,40,3,15,87.5,1.1000000238
3,24,40,40,3,15,87.5,1.1000000238
3,25,40,40,3,15,93.8000030518,1.1000000238
3,26,40,40,3,15,87.5,1.1000000238
3,27,40,40,3,15,82.4000015259,1.1000000238
3,28,40,40,3,15,87.5,1.1000000238
3,29,40,40,3,15,87.5,1.1000000238
3,30,40,40,3,15,87.5,1.1000000238
3,31,40,40,3,15,87.5,1.1000000238
3,32,40,40,3,15,87.5,1.1000000238
3,33,40,40,3,15,86.6999969482,1.1000000238
3,34,40,40,3,15,81.1999969482,1.1000000238
3,35,40,40,3,15,87.5,1.1000000238
3,36,40,40,3,15,82.4000015259,1.1000000238
3,37,40,40,3,15,87.5,1.1000000238
3,38,40,40,3,15,87.5,1.1000000238
3,39,40,40,3,15,81.1999969482,1.1000000238
3,40,40,40,3,15,87.5,1.1000000238
3,41,40,40,3,15,81.1999969482,1.1000000238
3,42,40,40,3,15,56.2000007629,1.1000000238
3,43,40,40,3,15,87.5,1.1000000238
3,44,40,40,3,15,93.8000030518,1.1000000238
3,45,40,40,3,15,93.3000030518,1.1000000238
3,46,40,40,3,15,86.6999969482,1.1000000238
3,47,40,40,3,15,81.1999969482,1.1000000238
3,48,40,40,3,15,81.1999969482,1.1000000238
3,49,40,40,3,15,93.8000030518,1.1000000238
