ID,index,voices,voiceToEQandComp,effects,voicesToEffects,CPUPerc,MemPerc
2,0,25,25,1,10,100,1
2,1,25,25,1,10,93.8000030518,1
2,2,25,25,1,10,93.8000030518,1
2,3,25,25,1,10,93.8000030518,1.1000000238
2,4,25,25,1,10,93.8000030518,1.1000000238
2,5,25,25,1,10,93.8000030518,1.1000000238
2,6,25,25,1,10,93.8000030518,1.1000000238
2,7,25,25,1,10,106.1999969482,1.1000000238
2,8,25,25,1,10,93.8000030518,1.1000000238
2,9,25,25,1,10,100,1.1000000238
2,10,25,25,1,10,100,1.1000000238
2,11,25,25,1,10,100,1.1000000238
2,12,25,25,1,10,100,1.1000000238
2,13,25,25,1,10,100,1.1000000238
2,14,25,25,1,10,106.6999969482,1.1000000238
2,15,25,25,1,10,100,1.1000000238
2,16,25,25,1,10,100,1.1000000238
2,17,25,25,1,10,106.6999969482,1.1000000238
2,18,25,25,1,10,113.3000030518,1.1000000238
2,19,25,25,1,10,112.5,1.1000000238
2,20,25,25,1,10,93.8000030518,1.1000000238
2,21,25,25,1,10,93.8000030518,1.1000000238
2,22,25,25,1,10,93.8000030518,1.1000000238
2,23,25,25,1,10,100,1.1000000238
2,24,25,25,1,10,93.8000030518,1.1000000238
2,25,25,25,1,10,100,1.1000000238
2,26,25,25,1,10,100,1.1000000238
2,27,25,25,1,10,100,1.1000000238
2,28,25,25,1,10,100,1.1000000238
2,29,25,25,1,10,94.0999984741,1.1000000238
2,30,25,25,1,10,100,1.1000000238
2,31,25,25,1,10,100,1.1000000238
2,32,25,25,1,10,106.6999969482,1.1000000238
2,33,25,25,1,10,100,1.1000000238
2,34,25,25,1,10,93.3000030518,1.1000000238
2,35,25,25,1,10,100,1.1000000238
2,36,25,25,1,10,100,1.1000000238
2,37,25,25,1,10,106.6999969482,1.1000000238
2,38,25,25,1,10,100,1.1000000238
2,39,25,25,1,10,93.8000030518,1.1000000238
2,40,25,25,1,10,106.6999969482,1.1000000238
2,41,25,25,1,10,93.8000030518,1.1000000238
2,42,25,25,1,10,106.6999969482,1.1000000238
2,43,25,25,1,10,93.8000030518,1.1000000238
2,44,25,25,1,10,100,1.1000000238
2,45,25,25,1,10,100,1.1000000238
2,46,25,25,1,10,93.8000030518,1.1000000238
2,47,25,25,1,10,100,1.1000000238
2,48,25,25,1,10,106.6999969482,1.1000000238
2,49,25,25,1,10,100,1.1000000238
